Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",57.360000,-22.120000,180.000000,bottom
"J3","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",75.250000,-22.210000,180.000000,bottom
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",68.780000,-70.200000,90.000000,bottom
